ID	TW	CN	CP950	CP936	GB2312	GBK
1111	6FE1	6FE1	6FE1	6FE1	6FE1	6FE1
1112	6FE4	6D9B	6FE4	6D9B	6D9B	6D9B
1113	7009	6CFB	7009	6CFB	6CFB	6CFB
1114	7006	6E0E	7006	6E0E	6E0E	6E0E
1115	6FFA	6E85	6FFA	6E85	6E85	6E85
1116	6FFE	6EE4	6FFE	6EE4	6EE4	6EE4
1117	700F	6D4F	700F	6D4F	6D4F	6D4F
1118	7028	6FD1	7028	6FD1	6FD1	6FD1
1119	701D	6CA5	701D	6CA5	6CA5	6CA5
1120	701F	6F47	701F	6F47	6F47	6F47
1121	703E	6F9C	703E	6F9C	6F9C	6F9C
1122	704C	704C	704C	704C	704C	704C
1123	7058	6EE9	7058	6EE9	6EE9	6EE9
1124	7063	6E7E	7063	6E7E	6E7E	6E7E
1125	7070	7070	7070	7070	7070	7070
1126	7078	7078	7078	7078	7078	7078
1127	7095	7095	7095	7095	7095	7095
1128	708E	708E	708E	708E	708E	708E
1129	7092	7092	7092	7092	7092	7092
1130	7099	7099	7099	7099	7099	7099
1131	70BA	4E3A	70BA	4E3A	4E3A	4E3A
1132	70B3	70B3	70B3	70B3	70B3	70B3
1133	70AF	70AF	70AF	70AF	70AF	70AF
1134	70AD	70AD	70AD	70AD	70AD	70AD
1135	70D8	70D8	70D8	70D8	70D8	70D8
1136	70C8	70C8	70C8	70C8	70C8	70C8
1137	70CF	4E4C	70CF	4E4C	4E4C	4E4C
1138	70FD	70FD	70FD	70FD	70FD	70FD
1139	7119	7119	7119	7119	7119	7119
1140	716E	716E	716E	716E	716E	716E
1141	711A	711A	711A	711A	711A	711A
1142	7136	7136	7136	7136	7136	7136
1143	7121	65E0	7121	65E0	65E0	65E0
1144	7130	7130	7130	7130	7130	7130
1145	714E	714E	714E	714E	714E	714E
1146	7169	70E6	7169	70E6	70E6	70E6
1147	715C	715C	715C	715C	715C	715C
1148	7167	7167	7167	7167	7167	7167
1149	7165	7115	7165	7115	7115	7115
1150	717D	717D	717D	717D	717D	717D
1151	718A	718A	718A	718A	718A	718A
1152	71A8	71A8	71A8	71A8	71A8	71A8
1153	71AC	71AC	71AC	71AC	71AC	71AC
1154	71B1	70ED	71B1	70ED	70ED	70ED
1155	71D9	70EB	71D9	70EB	70EB	70EB
1156	71BE	70BD	71BE	70BD	70BD	70BD
1157	71DC	7116	71DC	7116	7116	7116
1158	71D2	70E7	71D2	70E7	70E7	70E7
1159	71CE	71CE	71CE	71CE	71CE	71CE
1160	71EE	71EE	71EE	71EE	71EE	71EE
1161	71E7	71E7	71E7	71E7	71E7	71E7
1162	71DF	8425	71DF	8425	8425	8425
1163	71ED	70DB	71ED	70DB	70DB	70DB
1164	71E6	707F	71E6	707F	707F	707F
1165	71F4	70E9	71F4	70E9	70E9	70E9
1166	720D	70C1	720D	70C1	70C1	70C1
1167	721B	70C2	721B	70C2	70C2	70C2
1168	722A	722A	722A	722A	722A	722A
1169	722D	4E89	722D	4E89	4E89	4E89
1170	7238	7238	7238	7238	7238	7238
1171	723A	7237	723A	7237	7237	7237
1172	724C	724C	724C	724C	724C	724C
1173	7252	7252	7252	7252	7252	7252
1174	7256	7256	7256	7256	7256	7256
1175	7258	724D	7258	724D	724D	724D
1176	7259	7259	7259	7259	7259	7259
1177	725F	725F	725F	725F	725F	725F
1178	725D	725D	725D	725D	725D	725D
1179	7262	7262	7262	7262	7262	7262
1180	7261	7261	7261	7261	7261	7261
1181	7267	7267	7267	7267	7267	7267
1182	7279	7279	7279	7279	7279	7279
1183	727D	7275	727D	7275	7275	7275
1184	7281	7281	7281	7281	7281	7281
1185	7280	7280	7280	7280	7280	7280
1186	7296	8366	7296	8366	8366	8366
1187	729B	7266	729B	7266	7266	7266
1188	72A2	728A	72A2	728A	728A	728A
1189	72A7	727A	72A7	727A	727A	727A
1190	72AF	72AF	72AF	72AF	72AF	72AF
1191	72C2	72C2	72C2	72C2	72C2	72C2
1192	72C0	72B6	72C0	72B6	72B6	72B6
1193	72D7	72D7	72D7	72D7	72D7	72D7
1194	72D0	72D0	72D0	72D0	72D0	72D0
1195	72E1	72E1	72E1	72E1	72E1	72E1
1196	72E9	72E9	72E9	72E9	72E9	72E9
1197	72FD	72C8	72FD	72C8	72C8	72C8
1198	72F7	72F7	72F7	72F7	72F7	72F7
1199	731B	731B	731B	731B	731B	731B
1200	7319	72F0	7319	72F0	72F0	72F0
1201	7336	72B9	7336	72B9	72B9	72B9
1202	7329	7329	7329	7329	7329	7329
1203	7334	7334	7334	7334	7334	7334
1204	7344	72F1	7344	72F1	72F1	72F1
1205	733F	733F	733F	733F	733F	733F
1206	7345	72EE	7345	72EE	72EE	72EE
1207	7368	72EC	7368	72EC	72EC	72EC
1208	7370	72DE	7370	72DE	72DE	72DE
1209	7377	72B7	7377	72B7	72B7	72B7
1210	7378	517D	7378	517D	517D	517D
1211	7375	730E	7375	730E	730E	730E
1212	737A	736D	737A	736D	736D	736D
1213	737B	732E	737B	732E	732E	732E
1214	7380	7321	7380	7321	7321	7321
1215	7384	7384	7384	7384	7384	7384
1216	7396	7396	7396	7396	7396	7396
1217	739F	739F	739F	739F	739F	739F
1218	73A8	73CF	73A8	73CF	73CF	73CF
1219	73AB	73AB	73AB	73AB	73AB	73AB
1220	73CA	73CA	73CA	73CA	73CA	73CA
1221	73C0	73C0	73C0	73C0	73C0	73C0
1222	73B2	73B2	73B2	73B2	73B2	73B2
1223	73ED	73ED	73ED	73ED	73ED	73ED
1224	7403	7403	7403	7403	7403	7403
1225	740A	740A	740A	740A	740A	740A
1226	73FE	73B0	73FE	73B0	73B0	73B0
1227	7435	7435	7435	7435	7435	7435
1228	7436	7436	7436	7436	7436	7436
1229	7434	7434	7434	7434	7434	7434
1230	7433	7433	7433	7433	7433	7433
1231	745F	745F	745F	745F	745F	745F
1232	745A	745A	745A	745A	745A	745A
1233	7441	7441	7441	7441	7441	7441
1234	743F	73F2	743F	73F2	73F2	73F2
1235	7459	7459	7459	7459	7459	7459
1236	7483	7483	7483	7483	7483	7483
1237	746A	739B	746A	739B	739B	739B
1238	7463	7410	7463	7410	7410	7410
1239	7464	7476	7464	7476	7476	7476
1240	7470	7470	7470	7470	7470	7470
1241	74A3	7391	74A3	7391	7391	7391
1242	74B0	73AF	74B0	73AF	73AF	73AF
1243	74A6	7477	74A6	7477	7477	7477
1244	74CF	73D1	74CF	73D1	73D1	73D1
1245	74E0	74E0	74E0	74E0	74E0	74E0
1246	74E2	74E2	74E2	74E2	74E2	74E2
1247	74F7	74F7	74F7	74F7	74F7	74F7
1248	750C	74EF	750C	74EF	74EF	74EF
1249	7515	74EE	7515	74EE	74EE	74EE
1250	7518	7518	7518	7518	7518	7518
1251	751F	751F	751F	751F	751F	751F
1252	7525	7525	7525	7525	7525	7525
1253	7528	7528	7528	7528	7528	7528
1254	7532	7532	7532	7532	7532	7532
1255	7531	7531	7531	7531	7531	7531
1256	7533	7533	7533	7533	7533	7533
1257	7537	7537	7537	7537	7537	7537
1258	754F	754F	754F	754F	754F	754F
1259	754C	754C	754C	754C	754C	754C
1260	755D	4EA9	755D	4EA9	4EA9	4EA9
1261	755C	755C	755C	755C	755C	755C
1262	755A	755A	755A	755A	755A	755A
1263	7559	7559	7559	7559	7559	7559
1264	7566	7566	7566	7566	7566	7566
1265	7562	6BD5	7562	6BD5	6BD5	6BD5
1266	7570	5F02	7570	5F02	5F02	5F02
1267	7586	7586	7586	7586	7586	7586
1268	7587	7574	7587	7574	7574	7574
1269	758A	53E0	758A	53E0	53E0	53E0
1270	758F	758F	758F	758F	758F	758F
1271	759A	759A	759A	759A	759A	759A
1272	75A5	75A5	75A5	75A5	75A5	75A5
1273	75BE	75BE	75BE	75BE	75BE	75BE
1274	75BC	75BC	75BC	75BC	75BC	75BC
1275	75D4	75D4	75D4	75D4	75D4	75D4
1276	75E3	75E3	75E3	75E3	75E3	75E3
1277	75DE	75DE	75DE	75DE	75DE	75DE
1278	75D9	75C9	75D9	75C9	75C9	75C9
1279	7601	7601	7601	7601	7601	7601
1280	7600	7600	7600	7600	7600	7600
1281	75F2	75F2	75F2	75F2		
1282	75F1	75F1	75F1	75F1	75F1	75F1
1283	7661	75F4	7661	75F4	75F4	75F4
1284	75FF	75FF	75FF	75FF	75FF	75FF
1285	7627	759F	7627	759F	759F	759F
1286	7613	75EA	7613	75EA	75EA	75EA
1287	760B	75AF	760B	75AF	75AF	75AF
1288	7620	7620	7620	7620	7620	7620
1289	7624	7624	7624	7624	7624	7624
1290	7621	75AE	7621	75AE	75AE	75AE
1291	7646	75E8	7646	75E8	75E8	75E8
1292	7642	7597	7642	7597	7597	7597
1293	7658	75A0	7658	75A0	75A0	75A0
1294	7665	7665	7665	7665		7665
1295	7669	765E	7669	765E	765E	765E
1296	766C	7663	766C	7663	7663	7663
1297	7671	762B	7671	762B	762B	762B
1298	7672	766B	7672	766B	766B	766B
1299	7678	7678	7678	7678	7678	7678
1300	767B	767B	767B	767B	767B	767B
1301	767D	767D	767D	767D	767D	767D
1302	7684	7684	7684	7684	7684	7684
1303	7687	7687	7687	7687	7687	7687
1304	7686	7686	7686	7686	7686	7686
1305	768E	768E	768E	768E	768E	768E
1306	7696	7696	7696	7696	7696	7696
1307	7693	7693	7693	7693	7693	7693
1308	769A	7691	769A	7691	7691	7691
1309	76AE	76AE	76AE	76AE	76AE	76AE
1310	76BA	76B1	76BA	76B1	76B1	76B1
1311	76C2	76C2	76C2	76C2	76C2	76C2
1312	76C8	76C8	76C8	76C8	76C8	76C8
1313	76C6	76C6	76C6	76C6	76C6	76C6
1314	76CD	76CD	76CD	76CD	76CD	76CD
1315	76CE	76CE	76CE	76CE	76CE	76CE
1316	76DC	76D7	76DC	76D7	76D7	76D7
1317	76DE	76CF	76DE	76CF	76CF	76CF
1318	76DF	76DF	76DF	76DF	76DF	76DF
1319	76E3	76D1	76E3	76D1	76D1	76D1
1320	76E4	76D8	76E4	76D8	76D8	76D8
1321	76E5	76E5	76E5	76E5	76E5	76E5
1322	76EE	76EE	76EE	76EE	76EE	76EE
1323	76F2	76F2	76F2	76F2	76F2	76F2
1324	76F4	76F4	76F4	76F4	76F4	76F4
1325	7709	7709	7709	7709	7709	7709
1326	76F8	76F8	76F8	76F8	76F8	76F8
1327	7701	7701	7701	7701	7701	7701
1328	76FC	76FC	76FC	76FC	76FC	76FC
1329	76FE	76FE	76FE	76FE	76FE	76FE
1330	771F	771F	771F	771F	771F	771F
1331	7737	7737	7737	7737	7737	7737
1332	773C	773C	773C	773C	773C	773C
1333	7736	7736	7736	7736	7736	7736
1334	773A	773A	773A	773A	773A	773A
1335	776B	776B	776B	776B	776B	776B
1336	776A	776A	776A	776A		776A
1337	775C	7741	775C	7741	7741	7741
1338	7765	7765	7765	7765	7765	7765
1339	777D	777D	777D	777D	777D	777D
1340	7771	7771		7771		7771
1341	7761	7761	7761	7761	7761	7761
1342	779F	779F	779F	779F	779F	779F
1343	779E	7792	779E	7792	7792	7792
1344	77A0	77A0	77A0	77A0	77A0	77A0
1345	77B0	77B0	77B0	77B0	77B0	77B0
1346	77AC	77AC	77AC	77AC	77AC	77AC
1347	77BD	77BD	77BD	77BD	77BD	77BD
1348	77DA	77A9	77DA	77A9	77A9	77A9
1349	77DC	77DC	77DC	77DC	77DC	77DC
1350	77E5	77E5	77E5	77E5	77E5	77E5
1351	77E9	77E9	77E9	77E9	77E9	77E9
1352	77ED	77ED	77ED	77ED	77ED	77ED
1353	77EE	77EE	77EE	77EE	77EE	77EE
1354	77F3	77F3	77F3	77F3	77F3	77F3
1355	781D	781D	781D	781D	781D	781D
1356	7834	7834	7834	7834	7834	7834
1357	7827	7827	7827	7827	7827	7827
1358	782D	782D	782D	782D	782D	782D
1359	7825	7825	7825	7825	7825	7825
1360	786B	786B	786B	786B	786B	786B
1361	6731	6731	6731	6731	6731	6731
1362	786C	786C	786C	786C	786C	786C
1363	786F	781A	786F	781A	781A	781A
1364	788E	788E	788E	788E	788E	788E
1365	7891	7891	7891	7891	7891	7891
1366	787C	787C	787C	787C	787C	787C
1367	78A7	78A7	78A7	78A7	78A7	78A7
1368	78A9	7855	78A9	7855	7855	7855
1369	78BA	786E	78BA	786E	786E	786E
1370	78C1	78C1	78C1	78C1	78C1	78C1
1371	78BC	7801	78BC	7801	7801	7801
1372	78D5	78D5	78D5	78D5	78D5	78D5
1373	78BE	78BE	78BE	78BE	78BE	78BE
1374	78CA	78CA	78CA	78CA	78CA	78CA
1375	78E8	78E8	78E8	78E8	78E8	78E8
1376	78DA	7816	78DA	7816	7816	7816
1377	78EF	77F6	78EF	77F6	77F6	77F6
1378	790E	7840	790E	7840	7840	7840
1379	7919	788D	7919	788D	788D	788D
1380	792C	77FE	792C	77FE	77FE	77FE
1381	792A	783A	792A	783A	783A	783A
1382	792B	783E	792B	783E	783E	783E
1383	793A	793A	793A	793A	793A	793A
1384	7940	7940	7940	7940	7940	7940
1385	793E	793E	793E	793E	793E	793E
1386	7950	7950	7950	7950		7950
1387	7956	7956	7956	7956	7956	7956
1388	795E	795E	795E	795E	795E	795E
1389	795F	795F	795F	795F	795F	795F
1390	7968	7968	7968	7968	7968	7968
1391	797A	797A	797A	797A	797A	797A
1392	797F	7984	797F	7984	7984	7984
1393	798F	798F	798F	798F	798F	798F
1394	798D	7978	798D	7978	7978	7978
1395	798E	796F	798E	796F	796F	796F
1396	79AA	7985	79AA	7985	7985	7985
1397	79AE	793C	79AE	793C	793C	793C
1398	79B1	7977	79B1	7977	7977	7977
1399	842C	4E07	842C	4E07	4E07	4E07
1400	79C9	79C9	79C9	79C9	79C9	79C9
1401	79E6	79E6	79E6	79E6	79E6	79E6
1402	79FB	79FB	79FB	79FB	79FB	79FB
1403	7A14	7A14	7A14	7A14	7A14	7A14
1404	7A31	79F0	7A31	79F0	79F0	79F0
1405	7A2E	79CD	7A2E	79CD	79CD	79CD
1406	7A3F	7A3F	7A3F	7A3F	7A3F	7A3F
1407	7A3D	7A3D	7A3D	7A3D	7A3D	7A3D
1408	7A3B	7A3B	7A3B	7A3B	7A3B	7A3B
1409	7A4D	79EF	7A4D	79EF	79EF	79EF
1410	7A4E	9896	7A4E	9896	9896	9896
1411	7A57	7A57	7A57	7A57	7A57	7A57
1412	7A61	7A51	7A61	7A51	7A51	7A51
1413	7A74	7A74	7A74	7A74	7A74	7A74
1414	7A76	7A76	7A76	7A76	7A76	7A76
1415	7A79	7A79	7A79	7A79	7A79	7A79
1416	7A88	7A88	7A88	7A88	7A88	7A88
1417	7A96	7A96	7A96	7A96	7A96	7A96
1418	5800	5800	5800	5800	5800	5800
1419	7AA9	7A9D	7AA9	7A9D	7A9D	7A9D
1420	7AAE	7A77	7AAE	7A77	7A77	7A77
1421	7ABA	7AA5	7ABA	7AA5	7AA5	7AA5
1422	7AC5	7A8D	7AC5	7A8D	7A8D	7A8D
1423	7AC4	7A9C	7AC4	7A9C	7A9C	7A9C
1424	7AC7	7AA6	7AC7	7AA6	7AA6	7AA6
1425	7ACA	7A83	7ACA	7A83	7A83	7A83
1426	7AD9	7AD9	7AD9	7AD9	7AD9	7AD9
1427	7AEF	7AEF	7AEF	7AEF	7AEF	7AEF
1428	7AF6	7ADE	7AF6	7ADE	7ADE	7ADE
1429	7AFD	7AFD	7AFD	7AFD	7AFD	7AFD
1430	7B11	7B11	7B11	7B11	7B11	7B11
1431	7B2C	7B2C	7B2C	7B2C	7B2C	7B2C
1432	7B28	7B28	7B28	7B28	7B28	7B28
1433	7B1B	7B1B	7B1B	7B1B	7B1B	7B1B
1434	7B1E	7B1E	7B1E	7B1E	7B1E	7B1E
1435	7B19	7B19	7B19	7B19	7B19	7B19
1436	7B46	7B14	7B46	7B14	7B14	7B14
1437	7B49	7B49	7B49	7B49	7B49	7B49
1438	7B50	7B50	7B50	7B50	7B50	7B50
1439	7B4D	7B0B	7B4D	7B0B	7B0B	7B0B
1440	7B54	7B54	7B54	7B54	7B54	7B54
1441	7BA1	7BA1	7BA1	7BA1	7BA1	7BA1
1442	7B97	7B97	7B97	7B97	7B97	7B97
1443	7BC0	8282	7BC0	8282	8282	8282
1444	7BC6	7BC6	7BC6	7BC6	7BC6	7BC6
1445	7BD9	7BD9	7BD9	7BD9	7BD9	7BD9
1446	7BE4	7B03	7BE4	7B03	7B03	7B03
1447	7B51	7B51	7B51	7B51	7B51	7B51
1448	7BE1	7BE1	7BE1	7BE1	7BE1	7BE1
1449	7BE9	7B5B	7BE9	7B5B	7B5B	7B5B
1450	7C0D	7BD3	7C0D	7BD3	7BD3	7BD3
1451	7BF7	7BF7	7BF7	7BF7	7BF7	7BF7
1452	7C21	7B80	7C21	7B80	7B80	7B80
1453	7C2B	7BAB	7C2B	7BAB	7BAB	7BAB
1454	7C2A	7C2A	7C2A	7C2A	7C2A	7C2A
1455	7C1E	7BAA	7C1E	7BAA	7BAA	7BAA
1456	7C23	7BD1	7C23	7BD1	7BD1	7BD1
1457	7C3E	5E18	7C3E	5E18	5E18	5E18
1458	7C4C	7B79	7C4C	7B79	7B79	7B79
1459	7C50	7C50	7C50	7C50		
1460	7C60	7B3C	7C60	7B3C	7B3C	7B3C
1461	7C5F	7C41	7C5F	7C41	7C41	7C41
1462	7C6E	7BA9	7C6E	7BA9	7BA9	7BA9
1463	7C73	7C73	7C73	7C73	7C73	7C73
1464	7C92	7C92	7C92	7C92	7C92	7C92
1465	7C9F	7C9F	7C9F	7C9F	7C9F	7C9F
1466	7CA5	7CA5	7CA5	7CA5	7CA5	7CA5
1467	7CB3	7CB3	7CB3	7CB3	7CB3	7CB3
1468	7CBD	7CBD	7CBD	7CBD	7CBD	7CBD
1469	7CB9	7CB9	7CB9	7CB9	7CB9	7CB9
1470	7CD6	7CD6	7CD6	7CD6	7CD6	7CD6
1471	7CD5	7CD5	7CD5	7CD5	7CD5	7CD5
1472	7CDC	7CDC	7CDC	7CDC	7CDC	7CDC
1473	7CDE	7CAA	7CDE	7CAA	7CAA	7CAA
1474	7CD9	7CD9	7CD9	7CD9	7CD9	7CD9
1475	7CE7	7CAE	7CE7	7CAE	7CAE	7CAE
1476	7CEF	7CEF	7CEF	7CEF	7CEF	7CEF
1477	7CFE	7EA0	7CFE	7EA0	7EA0	7EA0
1478	7D00	7EAA	7D00	7EAA	7EAA	7EAA
1479	7D02	7EA3	7D02	7EA3	7EA3	7EA3
1480	7D05	7EA2	7D05	7EA2	7EA2	7EA2
1481	7D09	7EAB	7D09	7EAB	7EAB	7EAB
1482	7D04	7EA6	7D04	7EA6	7EA6	7EA6
1483	7D07	7EA5	7D07	7EA5	7EA5	7EA5
1484	7D21	7EBA	7D21	7EBA	7EBA	7EBA
1485	7D0B	7EB9	7D0B	7EB9	7EB9	7EB9
1486	7D20	7D20	7D20	7D20	7D20	7D20
1487	7D1C	7EAD	7D1C	7EAD	7EAD	7EAD
1488	7D22	7D22	7D22	7D22	7D22	7D22
1489	7D15	7EB0	7D15	7EB0	7EB0	7EB0
1490	7D14	7EAF	7D14	7EAF	7EAF	7EAF
1491	7D10	7EBD	7D10	7EBD	7EBD	7EBD
1492	7D17	7EB1	7D17	7EB1	7EB1	7EB1
1493	7D1A	7EA7	7D1A	7EA7	7EA7	7EA7
1494	7D19	7EB8	7D19	7EB8	7EB8	7EB8
1495	7D1B	7EB7	7D1B	7EB7	7EB7	7EB7
1496	7D46	7ECA	7D46	7ECA	7ECA	7ECA
1497	7D3C	7ECB	7D3C	7ECB	7ECB	7ECB
1498	7D39	7ECD	7D39	7ECD	7ECD	7ECD
1499	7D44	7EC4	7D44	7EC4	7EC4	7EC4
1500	7D30	7EC6	7D30	7EC6	7EC6	7EC6
1501	7D33	7EC5	7D33	7EC5	7EC5	7EC5
1502	7D40	7ECC	7D40	7ECC	7ECC	7ECC
1503	7D42	7EC8	7D42	7EC8	7EC8	7EC8
1504	7D71	7EDF	7D71	7EDF	7EDF	7EDF
1505	7D5E	7EDE	7D5E	7EDE	7EDE	7EDE
1506	7D68	7ED2	7D68	7ED2	7ED2	7ED2
1507	7D50	7ED3	7D50	7ED3	7ED3	7ED3
1508	7D62	7EDA	7D62	7EDA	7EDA	7EDA
1509	7D61	7EDC	7D61	7EDC	7EDC	7EDC
1510	7D66	7ED9	7D66	7ED9	7ED9	7ED9
1511	7D93	7ECF	7D93	7ECF	7ECF	7ECF
1512	7D79	7EE2	7D79	7EE2	7EE2	7EE2
1513	7D81	7ED1	7D81	7ED1	7ED1	7ED1
1514	7D9C	7EFC	7D9C	7EFC	7EFC	7EFC
1515	7DBB	7EFD	7DBB	7EFD	7EFD	7EFD
1516	7DB0	7EFE	7DB0	7EFE	7EFE	7EFE
1517	7DCA	7D27	7DCA	7D27	7D27	7D27
1518	7DBE	7EEB	7DBE	7EEB	7EEB	7EEB
1519	7DBA	7EEE	7DBA	7EEE	7EEE	7EEE
1520	7DB2	7F51	7DB2	7F51	7F51	7F51
1521	7DB1	7EB2	7DB1	7EB2	7EB2	7EB2
1522	7DBD	7EF0	7DBD	7EF0	7EF0	7EF0
1523	7DB5	7DB5	7DB5	7DB5		7DB5
1524	7DA0	7EFF	7DA0	7EFF	7EFF	7EFF
1525	7DAD	7EF4	7DAD	7EF4	7EF4	7EF4
1526	7DBF	7EF5	7DBF	7EF5	7EF5	7EF5
1527	7DB8	7EB6	7DB8	7EB6	7EB6	7EB6
1528	7DC7	7F01	7DC7	7F01	7F01	7F01
1529	7DE0	7F14	7DE0	7F14	7F14	7F14
1530	7DEF	7EAC	7DEF	7EAC	7EAC	7EAC
1531	7DF4	7EC3	7DF4	7EC3	7EC3	7EC3
1532	7DD8	7F04	7DD8	7F04	7F04	7F04
1533	7DEC	7F05	7DEC	7F05	7F05	7F05
1534	7DDD	7F09	7DDD	7F09	7F09	7F09
1535	7DE9	7F13	7DE9	7F13	7F13	7F13
1536	7DE8	7F16	7DE8	7F16	7F16	7F16
1537	7DDA	7EBF	7DDA	7EBF	7EBF	7EBF
1538	7DDE	7F0E	7DDE	7F0E	7F0E	7F0E
1539	7E11	7F23	7E11	7F23	7F23	7F23
1540	7E0A	7F22	7E0A	7F22	7F22	7F22
1541	7E08	8426	7E08	8426	8426	8426
1542	7E1B	7F1A	7E1B	7F1A	7F1A	7F1A
1543	7E23	53BF	7E23	53BF	53BF	53BF
1544	7E2E	7F29	7E2E	7F29	7F29	7F29
1545	7E3E	7EE9	7E3E	7EE9	7EE9	7EE9
1546	7E32	7F27	7E32	7F27	7F27	7F27
1547	7E41	7E41	7E41	7E41	7E41	7E41
1548	7E2B	7F1D	7E2B	7F1D	7F1D	7F1D
1549	7E3D	603B	7E3D	603B	603B	603B
1550	7E31	7EB5	7E31	7EB5	7EB5	7EB5
1551	7E55	7F2E	7E55	7F2E	7F2E	7F2E
1552	7E54	7EC7	7E54	7EC7	7EC7	7EC7
1553	7E5E	7ED5	7E5E	7ED5	7ED5	7ED5
1554	7E5A	7F2D	7E5A	7F2D	7F2D	7F2D
1555	7E69	7EF3	7E69	7EF3	7EF3	7EF3
1556	7E79	7ECE	7E79	7ECE	7ECE	7ECE
1557	8FAE	8FAB	8FAE	8FAB	8FAB	8FAB
1558	7E7D	7F24	7E7D	7F24	7F24	7F24
1559	7E7C	7EE7	7E7C	7EE7	7EE7	7EE7
1560	7E8F	7F20	7E8F	7F20	7F20	7F20
1561	7E93	7F28	7E93	7F28	7F28	7F28
1562	7E9C	7F06	7E9C	7F06	7F06	7F06
1563	7F50	7F50	7F50	7F50	7F50	7F50
1564	7F54	7F54	7F54	7F54	7F54	7F54
1565	7F72	7F72	7F72	7F72	7F72	7F72
1566	7F69	7F69	7F69	7F69	7F69	7F69
1567	7F70	7F5A	7F70	7F5A	7F5A	7F5A
1568	7F75	9A82	7F75	9A82	9A82	9A82
1569	7F77	7F62	7F77	7F62	7F62	7F62
1570	7F79	7F79	7F79	7F79	7F79	7F79
1571	7F8A	7F8A	7F8A	7F8A	7F8A	7F8A
1572	7F8C	7F8C	7F8C	7F8C	7F8C	7F8C
1573	7F8E	7F8E	7F8E	7F8E	7F8E	7F8E
1574	7F94	7F94	7F94	7F94	7F94	7F94
1575	7F9A	7F9A	7F9A	7F9A	7F9A	7F9A
1576	5584	5584	5584	5584	5584	5584
1577	7FA8	7FA1	7FA8	7FA1	7FA1	7FA1
1578	7FA9	4E49	7FA9	4E49	4E49	4E49
1579	7FB2	7FB2	7FB2	7FB2	7FB2	7FB2
1580	7FB6	7FB6	7FB6	7FB6		
1581	7FB9	7FB9	7FB9	7FB9	7FB9	7FB9
1582	7FBD	7FBD	7FBD	7FBD	7FBD	7FBD
1583	7FBF	7FBF	7FBF	7FBF	7FBF	7FBF
1584	7FC5	7FC5	7FC5	7FC5	7FC5	7FC5
1585	7FC1	7FC1	7FC1	7FC1	7FC1	7FC1
1586	7FCA	7FCA	7FCA	7FCA	7FCA	7FCA
1587	7FD2	4E60	7FD2	4E60	4E60	4E60
1588	7FD4	7FD4	7FD4	7FD4	7FD4	7FD4
1589	7FD5	7FD5	7FD5	7FD5	7FD5	7FD5
1590	7FE0	7FE0	7FE0	7FE0	7FE0	7FE0
1591	7FF0	7FF0	7FF0	7FF0	7FF0	7FF0
1592	7FF9	7FD8	7FF9	7FD8	7FD8	7FD8
1593	7FFB	7FFB	7FFB	7FFB	7FFB	7FFB
1594	8000	8000	8000	8000	8000	8000
1595	8001	8001	8001	8001	8001	8001
1596	8003	8003	8003	8003	8003	8003
1597	8006	8006	8006	8006	8006	8006
1598	8010	8010	8010	8010	8010	8010
1599	8015	8015	8015	8015	8015	8015
1600	8018	8018	8018	8018	8018	8018
1601	8017	8017	8017	8017	8017	8017
1602	801C	801C	801C	801C	801C	801C
1603	803D	803D	803D	803D	803D	803D
1604	804A	804A	804A	804A	804A	804A
1605	8046	8046	8046	8046	8046	8046
1606	8056	5723	8056	5723	5723	5723
1607	805E	95FB	805E	95FB	95FB	95FB
1608	8071	8071	8071	8071	8071	8071
1609	8072	58F0	8072	58F0	58F0	58F0
1610	8073	8038	8073	8038	8038	8038
1611	8070	806A	8070	806A	806A	806A
1612	806F	8054	806F	8054	8054	8054
1613	8077	804C	8077	804C	804C	804C
1614	8076	8042	8076	8042	8042	8042
1615	807E	804B	807E	804B	804B	804B
1616	8085	8083	8085	8083	8083	8083
1617	8087	8087	8087	8087	8087	8087
1618	8089	8089	8089	8089	8089	8089
1619	808B	808B	808B	808B	808B	808B
1620	8093	8093	8093	8093	8093	8093
1621	8098	8098	8098	8098	8098	8098
1622	809B	809B	809B	809B	809B	809B
1623	809A	809A	809A	809A	809A	809A
1624	6BD3	6BD3	6BD3	6BD3	6BD3	6BD3
1625	80AA	80AA	80AA	80AA	80AA	80AA
1626	80AB	80AB	80AB	80AB	80AB	80AB
1627	80AF	80AF	80AF	80AF	80AF	80AF
1628	80A1	80A1	80A1	80A1	80A1	80A1
1629	80A9	80A9	80A9	80A9	80A9	80A9
1630	991A	80B4	991A	80B4	80B4	80B4
1631	80D6	80D6	80D6	80D6	80D6	80D6
1632	80CC	80CC	80CC	80CC	80CC	80CC
1633	80C3	80C3	80C3	80C3	80C3	80C3
1634	80CE	80CE	80CE	80CE	80CE	80CE
1635	8105	80C1	8105	80C1	80C1	80C1
1636	80FD	80FD	80FD	80FD	80FD	80FD
1637	80F8	80F8	80F8	80F8	80F8	80F8
1638	810A	810A	810A	810A	810A	810A
1639	8155	8155	8155	8155	8155	8155
1640	8154	8154	8154	8154	8154	8154
1641	8150	8150	8150	8150	8150	8150
1642	814E	80BE	814E	80BE	80BE	80BE
1643	8139	80C0	8139	80C0	80C0	80C0
1644	8146	8146	8146	8146	8146	8146
1645	813E	813E	813E	813E	813E	813E
1646	8171	8171	8171	8171	8171	8171
